"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "HTML", "SCSS", "JavaScript JSX", "JSON", "comment", "blank", "total"
"f:\DEV\Projects\ProjectHandler\react-client\src\components\priceOfferTable\PriceOfferTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 2, 9, 71
"f:\DEV\Projects\ProjectHandler\react-client\src\components\priceOfferTable\priceOfferTable.scss", "SCSS", 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectDetails\ProjectDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 105, 0, 2, 16, 123
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectDetails\projectDetails.scss", "SCSS", 0, 0, 0, 0, 72, 0, 0, 0, 8, 80
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectProgressBar\ProjectProgressBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 8, 59
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectProgressBar\projectProgressBar.scss", "SCSS", 0, 0, 0, 0, 50, 0, 0, 0, 15, 65
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectRelationships\ProjectActivities.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 106, 0, 2, 27, 135
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectRelationships\projectActivities.scss", "SCSS", 0, 0, 0, 0, 80, 0, 0, 0, 15, 95
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectTasks\ProjectFiles.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 158, 0, 0, 21, 179
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectTasks\projectFiles.scss", "SCSS", 0, 0, 0, 0, 116, 0, 0, 0, 22, 138
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectWorkDetails\ProjectWorkDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 100, 0, 0, 15, 115
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectWorkDetails\projectWorkDetails.scss", "SCSS", 0, 0, 0, 0, 76, 0, 0, 0, 15, 91
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectsTopbar\ProjectsTopbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 229, 0, 3, 38, 270
"f:\DEV\Projects\ProjectHandler\react-client\src\components\projectsTopbar\projectsTopbar.scss", "SCSS", 0, 0, 0, 0, 106, 0, 0, 0, 18, 124
"f:\DEV\Projects\ProjectHandler\react-client\src\components\sidebar\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 160, 0, 0, 16, 176
"f:\DEV\Projects\ProjectHandler\react-client\src\components\sidebar\sidebar.scss", "SCSS", 0, 0, 0, 0, 157, 0, 0, 0, 38, 195
"f:\DEV\Projects\ProjectHandler\react-client\src\components\tasksPage\TasksPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 122, 0, 3, 18, 143
"f:\DEV\Projects\ProjectHandler\react-client\src\components\tasksPage\tasksPage.scss", "SCSS", 0, 0, 0, 0, 116, 0, 0, 0, 41, 157
"f:\DEV\Projects\ProjectHandler\react-client\src\context\AuthContext.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"f:\DEV\Projects\ProjectHandler\react-client\src\dummyData.js", "JavaScript", 0, 610, 0, 0, 0, 0, 0, 0, 26, 636
"f:\DEV\Projects\ProjectHandler\react-client\src\hooks\useFetch.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"f:\DEV\Projects\ProjectHandler\react-client\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardActivities\DashboardActivities.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardActivities\dashboardActivities.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
