Date : 2023-12-01 21:40:33
Directory : f:\DEV\Projects\ProjectHandler
Total : 97 files,  38843 codes, 184 comments, 1535 blanks, all 40562 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\openProjects\OpenProjects.jsx               | JavaScript JSX     |         67 |          0 |          7 |         74 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\openProjects\openProjects.scss              | SCSS               |         53 |          0 |         12 |         65 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\openTasks\OpenTasks.jsx                     | JavaScript JSX     |         67 |          1 |         11 |         79 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\openTasks\openTasks.scss                    | SCSS               |         57 |          0 |         17 |         74 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\priceOfferTable\PriceOfferTable.jsx         | JavaScript JSX     |         60 |          2 |          9 |         71 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\priceOfferTable\priceOfferTable.scss        | SCSS               |         32 |          0 |          4 |         36 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectDetails\ProjectDetails.jsx           | JavaScript JSX     |        105 |          2 |         16 |        123 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectDetails\projectDetails.scss          | SCSS               |         72 |          0 |          8 |         80 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectProgressBar\ProjectProgressBar.jsx   | JavaScript JSX     |         51 |          0 |          8 |         59 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectProgressBar\projectProgressBar.scss  | SCSS               |         50 |          0 |         15 |         65 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectRelationships\ProjectActivities.jsx  | JavaScript JSX     |        106 |          2 |         27 |        135 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectRelationships\projectActivities.scss | SCSS               |         80 |          0 |         15 |         95 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectTasks\ProjectFiles.jsx               | JavaScript JSX     |        158 |          0 |         21 |        179 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectTasks\projectFiles.scss              | SCSS               |        116 |          0 |         22 |        138 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectWorkDetails\ProjectWorkDetails.jsx   | JavaScript JSX     |        100 |          0 |         15 |        115 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectWorkDetails\projectWorkDetails.scss  | SCSS               |         76 |          0 |         15 |         91 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectsTopbar\ProjectsTopbar.jsx           | JavaScript JSX     |        229 |          3 |         38 |        270 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\projectsTopbar\projectsTopbar.scss          | SCSS               |        106 |          0 |         18 |        124 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\sidebar\Sidebar.jsx                         | JavaScript JSX     |        160 |          0 |         16 |        176 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\sidebar\sidebar.scss                        | SCSS               |        157 |          0 |         38 |        195 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\tasksPage\TasksPage.jsx                     | JavaScript JSX     |        122 |          3 |         18 |        143 |
| f:\DEV\Projects\ProjectHandler\react-client\src\components\tasksPage\tasksPage.scss                    | SCSS               |        116 |          0 |         41 |        157 |
| f:\DEV\Projects\ProjectHandler\react-client\src\context\AuthContext.js                                 | JavaScript         |         53 |          0 |          6 |         59 |
| f:\DEV\Projects\ProjectHandler\react-client\src\dummyData.js                                           | JavaScript         |        610 |          0 |         26 |        636 |
| f:\DEV\Projects\ProjectHandler\react-client\src\hooks\useFetch.js                                      | JavaScript         |         32 |          0 |          6 |         38 |
| f:\DEV\Projects\ProjectHandler\react-client\src\index.js                                               | JavaScript         |         12 |          0 |          5 |         17 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardActivities\DashboardActivities.jsx      | JavaScript JSX     |         14 |          0 |          2 |         16 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardActivities\dashboardActivities.scss     | SCSS               |          0 |          0 |          1 |          1 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardProjects\DashboardProjects.jsx          | JavaScript JSX     |         18 |          0 |          2 |         20 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardProjects\dashboardProjects.scss         | SCSS               |          3 |          0 |          1 |          4 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardTasks\DashboardTasks.jsx                | JavaScript JSX     |         19 |          0 |          3 |         22 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\dashboardTasks\dashboardTasks.scss               | SCSS               |          3 |          0 |          1 |          4 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\login\Login.jsx                                  | JavaScript JSX     |         38 |          0 |          7 |         45 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\login\login.scss                                 | SCSS               |         28 |          0 |          4 |         32 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\priceGenerator\PriceGenerator.jsx                | JavaScript JSX     |        868 |         29 |         60 |        957 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\priceGenerator\priceGenerator.scss               | SCSS               |        231 |          0 |         61 |        292 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\priceOffer\PriceOffer.jsx                        | JavaScript JSX     |        674 |          6 |         60 |        740 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\priceOffer\priceOffer.scss                       | SCSS               |        510 |          0 |         65 |        575 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\projectPage\ProjectPage.jsx                      | JavaScript JSX     |         99 |          0 |         20 |        119 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\projectPage\projectPage.scss                     | SCSS               |        157 |          0 |         39 |        196 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\projects\Projects.jsx                            | JavaScript JSX     |        139 |          0 |         25 |        164 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\projects\projects.scss                           | SCSS               |        113 |          0 |         20 |        133 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\tasks\Tasks.jsx                                  | JavaScript JSX     |          9 |          0 |          2 |         11 |
| f:\DEV\Projects\ProjectHandler\react-client\src\pages\tasks\tasks.scss                                 | SCSS               |          0 |          0 |          1 |          1 |
| Total                                                                                                  |                    |     38,843 |        184 |      1,535 |     40,562 |
+--------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
